batch_id,greenhouse_zone,shift,irrigation_method,worker_experience_years,temperature_c,humidity_pct,soil_moisture_pct,nutrient_ec,fruit_weight_g,sugar_brix,quality_issue
B0326,C동,주간,점적,10.0,24.6,60.7,47.7,2.33,134.4,7.67,0
B0327,B동,주간,분무,2.0,20.8,79.6,66.0,2.14,222.1,7.36,0
B0328,D동,야간,점적,4.0,19.4,72.8,64.2,2.28,165.7,7.41,0
B0329,A동,주간,점적,9.0,27.4,66.5,60.0,2.01,148.2,7.94,0
B0330,B동,주간,점적,9.0,22.2,73.0,59.4,2.22,206.6,6.81,0
B0331,B동,주간,수경,13.0,23.5,65.9,85.2,2.4,172.7,6.36,0
B0332,A동,야간,수경,,47.0,68.7,58.8,2.85,140.9,7.45,0
B0333,B동,주간,점적,4.0,23.6,76.2,60.3,2.06,180.2,7.03,0
B0334,B동,야간,분무,6.0,29.1,69.7,51.4,2.91,177.4,8.95,0
B0335,D동,야간,수경,1.0,21.3,65.9,59.9,1.71,152.4,7.61,0
B0336,A동,주간,분무,14.0,25.9,78.9,63.4,1.91,472.4,7.83,0
B0337,C동,야간,점적,12.0,24.7,63.6,68.2,2.16,205.6,7.76,0
B0338,A동,주간,점적,3.0,22.7,55.8,65.0,2.98,195.3,8.16,0
B0339,B동,주간,점적,1.0,25.0,72.2,64.5,2.03,182.3,7.87,0
B0340,C동,주간,수경,1.0,23.0,,75.0,2.62,143.0,7.36,0
B0341,C동,주간,점적,7.0,22.1,78.5,69.7,2.2,184.8,7.44,0
B0342,B동,야간,,3.0,20.8,67.9,74.0,2.44,180.4,6.83,0
B0343,A동,야간,분무,7.0,23.4,84.3,,1.78,187.1,6.86,0
B0344,C동,주간,분무,3.0,28.1,71.3,68.8,2.25,184.8,6.58,0
B0345,A동,주간,점적,12.0,20.8,80.0,58.5,2.14,163.1,5.64,0
B0346,B동,야간,점적,10.0,19.8,63.0,52.9,,173.2,7.17,1
B0347,A동,주간,수경,14.0,22.7,62.9,84.7,2.6,157.2,7.49,0
B0348,D동,야간,분무,5.0,22.2,79.2,65.6,2.11,185.4,7.36,0
B0349,B동,야간,수경,,24.2,63.6,80.5,2.08,208.6,7.22,0
B0350,C동,야간,수경,6.0,23.1,67.2,82.9,2.53,168.8,6.92,0
B0351,B동,주간,분무,6.0,24.9,,,1.87,139.9,6.72,0
B0352,D동,야간,수경,6.0,26.9,69.4,69.7,2.42,161.7,7.17,0
B0353,A동,야간,점적,3.0,22.0,65.9,62.0,2.1,196.7,6.43,0
B0354,D동,주간,점적,2.0,24.2,65.1,58.4,2.12,212.4,7.68,0
B0355,C동,주간,점적,7.0,17.9,71.7,66.3,2.16,161.7,7.02,0
B0356,A동,야간,수경,6.0,24.8,63.0,74.7,2.37,169.9,7.34,0
B0357,C동,주간,수경,5.0,25.7,75.6,75.9,2.46,168.2,7.03,0
B0358,C동,야간,점적,5.0,21.0,60.9,64.6,2.56,153.1,6.25,0
B0359,B동,야간,점적,2.0,23.0,77.4,14.4,2.09,201.4,7.11,0
B0360,C동,야간,점적,10.0,21.2,71.9,61.3,2.54,156.0,7.58,0
B0361,B동,주간,수경,10.0,22.4,69.8,74.6,2.68,193.7,7.72,0
B0362,C동,주간,점적,1.0,22.3,64.2,57.6,2.35,140.2,6.74,0
B0363,A동,주간,점적,7.0,24.4,52.5,58.8,2.55,208.2,7.73,0
B0364,B동,주간,점적,8.0,26.5,56.6,53.0,1.74,186.4,8.16,0
B0365,B동,야간,점적,6.0,24.8,73.5,66.8,2.29,193.9,7.29,0
B0366,C동,주간,점적,10.0,25.8,59.4,56.7,6.82,196.0,7.84,0
B0367,B동,야간,점적,0.0,22.6,68.8,57.8,1.92,177.3,8.04,0
B0368,A동,주간,수경,13.0,25.3,69.9,73.4,2.63,169.9,6.79,0
B0369,B동,야간,분무,3.0,18.1,92.0,44.8,2.18,148.8,6.4,1
B0370,A동,주간,점적,7.0,23.3,64.9,54.9,2.38,188.5,8.12,0
B0371,D동,주간,점적,0.0,23.3,59.6,56.0,2.06,174.8,6.79,0
B0372,C동,주간,점적,6.0,25.5,75.1,71.5,2.79,155.5,6.91,0
B0373,C동,주간,점적,11.0,27.2,60.7,70.7,2.21,180.9,7.81,0
B0374,A동,야간,수경,7.0,23.3,,71.2,3.05,172.0,7.56,0
B0375,B동,주간,점적,10.0,24.1,63.0,45.5,1.61,183.3,7.82,1
B0376,A동,주간,수경,2.0,25.6,60.5,,2.45,184.7,7.93,0
B0377,C동,주간,,6.0,23.8,59.8,65.0,1.7,182.0,7.22,0
B0378,B동,주간,점적,3.0,28.1,59.1,68.8,1.55,172.0,7.19,0
B0379,A동,주간,점적,2.0,26.9,64.7,57.5,2.03,173.3,6.45,1
B0380,C동,야간,수경,5.0,25.0,60.1,74.0,2.37,181.0,7.72,0
B0381,A동,주간,수경,1.0,25.0,65.5,72.0,2.09,152.6,7.32,0
B0382,B동,야간,점적,5.0,26.1,64.8,63.6,1.45,178.3,6.93,0
B0383,C동,주간,점적,10.0,24.9,64.7,56.2,1.6,164.7,7.39,0
B0384,D동,주간,수경,7.0,27.9,68.7,75.5,2.78,157.0,8.43,0
B0385,C동,주간,점적,5.0,23.8,67.3,58.3,1.64,164.3,6.83,1
B0386,A동,주간,점적,4.0,23.3,50.5,63.3,1.82,193.2,7.58,0
B0387,C동,주간,수경,10.0,23.0,72.6,61.3,3.23,200.7,7.0,1
B0388,C동,주간,수경,8.0,24.1,55.9,74.4,2.07,186.5,7.86,0
B0389,C동,야간,점적,8.0,21.5,72.7,43.8,1.48,132.5,7.74,0
B0390,B동,주간,분무,3.0,24.4,77.9,69.4,1.71,207.9,7.13,0
B0391,B동,주간,수경,15.0,21.7,72.6,71.0,2.24,195.2,7.8,0
B0392,A동,주간,점적,9.0,26.7,76.2,77.8,2.54,156.5,7.97,0
B0393,A동,야간,점적,8.0,23.4,58.8,56.4,2.6,170.5,7.1,0
B0394,D동,야간,점적,7.0,22.0,81.5,61.4,2.4,198.0,6.83,0
B0395,D동,주간,수경,6.0,28.0,62.4,61.1,2.61,138.1,7.29,0
B0396,B동,주간,점적,9.0,20.5,65.1,62.7,1.42,178.7,6.15,0
B0397,B동,야간,,1.0,26.6,81.4,59.4,1.99,186.2,6.03,0
B0398,C동,주간,점적,16.0,25.1,71.3,67.1,2.21,184.5,7.91,1
B0399,D동,야간,점적,6.0,20.1,73.0,51.3,1.75,144.2,6.56,0
B0400,D동,야간,수경,7.0,21.0,72.4,72.8,2.25,178.9,6.78,0
B0401,C동,주간,수경,7.0,22.0,71.1,60.3,2.5,209.5,7.42,0
B0402,C동,주간,수경,7.0,28.1,75.0,76.5,2.25,150.5,7.0,0
B0403,D동,주간,점적,,26.2,70.5,60.7,1.75,180.3,7.15,0
B0404,B동,주간,수경,11.0,24.0,72.9,88.0,2.42,195.4,7.38,0
B0405,A동,주간,분무,,27.0,73.7,59.4,1.45,164.6,6.73,0
B0406,A동,야간,분무,10.0,24.8,74.9,68.8,6.5,194.3,6.12,0
B0407,B동,야간,수경,5.0,22.2,68.2,71.4,2.32,182.3,6.9,0
B0408,A동,주간,수경,0.0,26.0,59.4,78.6,2.39,169.9,7.0,0
B0409,A동,주간,점적,6.0,21.4,61.8,54.5,2.18,163.3,6.75,0
B0410,B동,야간,점적,12.0,22.3,69.7,74.1,,183.2,6.79,0
B0411,C동,주간,분무,7.0,46.8,75.5,49.5,2.06,169.2,7.12,0
B0412,C동,야간,분무,6.0,23.4,75.0,67.4,2.48,151.0,5.98,0
B0413,B동,야간,점적,0.0,19.0,75.2,66.5,2.73,202.7,6.65,0
B0414,A동,야간,점적,5.0,24.0,72.4,58.7,1.83,179.6,6.86,0
B0415,B동,주간,수경,5.0,26.2,58.8,67.6,2.01,197.4,7.41,0
B0416,A동,야간,수경,0.0,25.3,70.0,77.4,2.55,177.0,7.95,0
B0417,B동,야간,수경,5.0,24.0,,63.8,2.02,142.1,6.49,0
B0418,C동,야간,점적,14.0,23.6,80.7,,1.32,195.3,7.5,0
B0419,A동,주간,수경,12.0,22.7,65.0,81.6,2.46,181.0,7.74,0
B0420,D동,주간,분무,11.0,28.5,74.4,53.2,1.96,173.5,8.21,0
B0421,A동,야간,점적,8.0,23.6,66.0,52.8,1.75,170.4,6.72,0
B0422,B동,주간,점적,5.0,23.7,53.4,61.8,1.95,186.9,7.13,0
B0423,B동,주간,점적,7.0,23.7,73.2,63.5,2.01,163.2,7.05,0
B0424,D동,야간,점적,4.0,23.4,63.1,56.3,2.4,177.1,7.16,0
B0425,C동,주간,수경,14.0,24.7,71.0,73.9,2.41,159.0,7.06,0
B0426,A동,야간,점적,4.0,21.5,76.8,72.2,2.19,128.0,6.21,1
B0427,B동,야간,점적,11.0,20.6,69.0,54.1,2.18,169.3,6.1,1
B0428,C동,주간,점적,5.0,22.5,74.2,56.4,1.6,137.3,8.22,0
B0429,A동,주간,점적,0.0,26.3,62.1,59.4,1.44,148.6,6.86,0
B0430,D동,주간,분무,5.0,24.8,77.1,61.5,2.28,160.4,7.37,0
B0431,B동,주간,점적,2.0,21.9,61.7,50.9,2.54,415.6,8.1,0
B0432,D동,주간,수경,7.0,23.3,79.9,,2.54,144.1,7.8,0
B0433,D동,주간,분무,1.0,22.8,67.9,72.6,1.75,157.7,6.58,0
B0434,A동,야간,수경,0.0,21.1,76.5,88.0,2.52,155.7,7.06,0
B0435,A동,야간,분무,3.0,22.3,68.4,67.4,2.21,158.9,7.22,0
B0436,B동,주간,분무,8.0,23.0,66.6,57.8,1.64,169.1,7.01,0
B0437,A동,야간,수경,8.0,25.1,62.1,79.1,2.3,172.5,7.13,0
B0438,A동,야간,점적,10.0,20.6,52.1,63.0,2.02,177.2,7.4,0
B0439,C동,주간,수경,13.0,25.7,78.2,77.3,2.4,162.1,6.71,0
B0440,A동,주간,수경,14.0,19.8,70.1,66.7,2.84,162.9,6.62,0
B0441,B동,야간,수경,7.0,23.0,79.8,66.5,2.12,164.0,7.35,0
B0442,C동,야간,분무,3.0,21.8,83.1,50.5,1.74,171.9,6.05,0
B0443,C동,주간,수경,13.0,25.2,55.9,77.9,2.16,176.6,8.11,0
B0444,A동,야간,점적,7.0,24.4,60.3,57.5,2.17,194.3,7.19,0
B0445,D동,주간,분무,3.0,22.7,76.2,57.3,2.13,176.5,6.52,0
B0446,D동,야간,분무,1.0,25.3,75.6,58.5,1.82,163.3,7.35,0
B0447,C동,주간,점적,13.0,23.7,75.0,60.1,1.61,173.0,7.18,0
B0448,C동,야간,수경,7.0,22.1,64.5,82.6,2.52,130.1,7.54,0
B0449,C동,주간,,12.0,25.6,80.1,48.7,1.79,195.5,6.91,0
B0450,A동,주간,수경,6.0,22.3,78.5,70.0,1.64,174.2,7.47,0
B0451,D동,주간,분무,13.0,27.8,66.6,73.7,2.39,156.2,8.29,0
B0452,D동,야간,점적,8.0,22.7,57.2,52.1,1.79,209.1,6.78,0
B0453,A동,주간,분무,16.0,24.9,83.3,64.5,2.06,191.9,7.51,0
B0454,B동,야간,수경,11.0,22.1,76.6,74.5,2.36,200.8,7.18,0
B0455,B동,주간,점적,5.0,25.3,67.2,57.7,2.33,218.8,6.87,0
B0456,B동,야간,점적,,24.9,80.3,65.7,1.67,201.3,7.05,0
B0457,C동,야간,점적,6.0,20.5,75.4,64.4,2.32,172.7,6.95,0
B0458,A동,주간,분무,7.0,23.4,74.7,63.4,1.74,168.3,8.23,0
B0459,C동,야간,점적,8.0,23.1,70.1,68.5,1.62,186.1,7.65,1
B0460,A동,주간,점적,8.0,23.6,73.2,53.4,1.86,191.3,6.63,0
B0461,C동,주간,분무,0.0,26.5,81.8,72.6,2.21,190.1,7.92,0
B0462,A동,주간,점적,8.0,27.9,69.3,61.2,1.93,177.3,7.38,0
B0463,B동,야간,점적,11.0,23.3,61.2,65.5,2.54,187.2,7.2,0
B0464,D동,주간,분무,7.0,20.8,75.7,86.1,1.89,133.4,7.11,0
B0465,B동,야간,분무,7.0,24.1,73.2,74.4,2.72,182.7,7.66,0
B0466,C동,주간,수경,6.0,28.0,83.2,84.1,2.63,180.2,7.22,0
B0467,A동,주간,점적,3.0,25.4,58.9,63.7,2.46,203.1,7.52,0
B0468,C동,주간,수경,2.0,24.7,,63.7,2.74,208.3,6.75,0
B0469,B동,주간,점적,6.0,25.3,61.6,69.3,1.8,148.5,6.73,0
B0470,C동,주간,수경,7.0,26.4,66.2,75.5,2.59,182.5,7.15,0
B0471,D동,야간,수경,8.0,23.8,63.2,79.0,1.94,140.1,6.42,0
B0472,B동,야간,수경,2.0,21.6,74.2,86.9,3.08,152.9,7.75,1
B0473,C동,야간,점적,4.0,23.8,55.0,55.9,1.6,164.5,7.08,0
B0474,D동,야간,점적,3.0,22.1,71.5,57.8,2.16,183.9,7.38,0
B0475,C동,야간,수경,0.0,18.1,66.1,68.8,2.21,181.2,7.09,0
B0476,A동,주간,수경,5.0,26.3,62.8,70.0,2.96,208.8,8.28,0
B0477,D동,주간,점적,1.0,23.8,61.8,63.1,2.35,169.5,6.97,0
B0478,A동,야간,점적,4.0,27.7,65.2,67.4,1.8,171.2,7.5,0
B0479,D동,야간,점적,8.0,18.2,71.7,54.2,1.94,147.0,6.98,1
B0480,B동,주간,수경,4.0,26.0,,52.8,2.21,174.2,7.22,0
B0481,C동,주간,분무,11.0,23.2,74.1,62.6,1.67,175.4,6.7,0
B0482,B동,야간,점적,4.0,29.3,66.8,66.2,2.03,172.0,7.95,0
B0483,B동,주간,분무,11.0,28.9,73.5,60.3,1.73,183.7,7.31,0
B0484,C동,야간,점적,10.0,24.9,87.4,65.8,2.11,185.6,6.64,0
B0485,B동,주간,분무,15.0,27.0,72.9,61.2,2.11,180.6,8.45,0
B0486,C동,주간,점적,10.0,23.4,71.3,49.2,2.41,149.3,8.32,0
B0487,B동,야간,점적,9.0,26.8,77.5,55.2,1.98,171.3,6.4,0
B0488,D동,야간,점적,4.0,21.6,68.6,72.4,1.76,177.5,6.65,0
B0489,C동,야간,분무,5.0,23.0,67.9,55.7,2.44,211.7,7.14,0
B0490,B동,주간,수경,12.0,23.5,59.3,65.0,2.86,151.5,6.82,0
B0491,A동,주간,수경,4.0,25.2,67.5,83.6,2.91,173.8,8.2,0
B0492,A동,야간,점적,8.0,23.1,62.7,50.3,2.0,190.0,7.2,0
B0493,C동,주간,수경,8.0,24.1,59.7,67.8,1.67,159.2,6.94,0
B0494,B동,주간,수경,9.0,21.1,55.3,81.3,2.28,180.4,8.01,0
B0495,C동,야간,분무,10.0,24.6,63.0,80.5,2.0,172.7,6.73,0
B0496,B동,야간,수경,1.0,21.8,56.6,71.3,2.41,148.6,6.83,0
B0497,C동,야간,점적,15.0,16.0,72.3,60.5,2.43,193.0,7.05,0
B0498,D동,야간,분무,2.0,24.7,70.9,66.2,1.99,182.0,7.14,1
B0499,C동,주간,점적,4.0,26.1,74.4,66.7,1.79,155.4,7.67,0
B0500,C동,주간,분무,2.0,26.0,67.2,71.2,1.99,203.3,7.87,0
B0501,A동,야간,점적,15.0,20.9,80.0,60.9,1.93,202.0,7.54,0
B0502,B동,야간,점적,9.0,23.8,73.0,67.3,1.9,463.7,7.05,0
B0503,D동,야간,분무,9.0,27.7,62.3,54.7,2.08,173.4,8.15,0
B0504,A동,야간,점적,1.0,24.5,66.8,57.4,1.84,178.0,7.76,1
B0505,A동,야간,분무,16.0,24.2,73.7,58.8,1.76,184.2,6.86,0
B0506,C동,주간,점적,4.0,19.8,68.9,77.1,2.09,154.7,7.77,0
B0507,B동,야간,분무,7.0,21.8,79.6,56.7,2.05,183.3,6.39,0
B0508,C동,주간,분무,1.0,23.2,78.9,49.4,1.8,159.7,7.44,0
B0509,B동,주간,분무,9.0,22.1,89.9,62.9,1.51,166.2,6.56,0
B0510,A동,주간,분무,,24.5,72.2,57.8,1.58,430.0,6.87,0
B0511,D동,주간,점적,9.0,24.4,,49.2,1.87,158.6,6.94,0
B0512,B동,주간,점적,1.0,24.6,82.0,72.7,1.43,162.9,6.77,0
B0513,B동,주간,분무,1.0,26.3,79.0,66.4,1.76,200.7,7.12,0
B0514,C동,야간,분무,4.0,19.2,64.6,62.4,1.98,179.6,6.74,0
B0515,B동,주간,점적,6.0,26.7,63.7,64.0,2.6,193.5,7.17,1
B0516,D동,야간,수경,9.0,22.7,69.2,67.8,2.5,188.9,6.34,0
B0517,B동,주간,점적,7.0,26.2,80.6,72.1,2.18,188.0,7.06,0
B0518,C동,야간,점적,3.0,23.0,78.0,61.9,2.39,168.6,6.22,0
B0519,A동,야간,점적,13.0,25.0,75.9,47.6,1.49,173.1,6.09,0
B0520,B동,야간,수경,7.0,23.4,56.4,74.8,2.31,193.4,6.69,0
B0521,B동,주간,분무,3.0,28.4,,51.7,2.39,168.0,7.41,0
B0522,A동,야간,점적,13.0,20.3,62.9,53.2,2.02,162.0,6.61,0
B0523,C동,주간,점적,0.0,23.0,74.2,57.6,2.1,161.7,6.93,1
B0524,C동,야간,점적,1.0,24.2,73.6,47.2,2.49,166.9,7.4,0
B0525,B동,야간,수경,3.0,23.0,70.2,79.2,2.3,182.2,7.25,0
B0526,C동,주간,점적,6.0,23.8,72.2,62.8,2.36,167.4,6.75,0
B0527,A동,야간,수경,5.0,21.3,63.8,68.0,2.17,138.6,6.83,0
B0528,B동,야간,수경,13.0,20.2,60.8,69.1,2.65,180.3,7.35,0
B0529,B동,주간,점적,5.0,28.3,65.9,46.2,1.92,196.6,8.06,0
B0530,D동,야간,,7.0,20.8,57.5,69.4,1.49,175.3,7.13,0
B0531,A동,주간,점적,9.0,28.5,79.2,55.5,2.48,177.2,6.84,0
B0532,B동,주간,점적,8.0,21.5,69.9,56.3,1.1,177.1,6.31,0
B0533,B동,주간,분무,8.0,26.4,,63.6,2.23,191.6,6.8,0
B0534,B동,야간,점적,,26.0,80.2,65.3,2.03,204.2,6.26,0
B0535,D동,주간,점적,4.0,27.2,74.8,51.4,2.52,168.8,6.77,0
B0536,B동,주간,수경,0.0,24.0,63.0,68.3,2.13,180.4,7.42,0
B0537,A동,야간,점적,10.0,20.3,62.4,56.1,2.29,212.0,6.82,0
B0538,C동,주간,수경,11.0,20.9,75.7,79.2,2.19,238.7,7.64,0
B0539,D동,주간,수경,11.0,26.4,72.6,,2.73,157.4,8.07,1
B0540,B동,주간,분무,10.0,26.7,80.6,61.4,,203.8,6.03,0
B0541,B동,주간,점적,5.0,25.8,65.7,65.5,2.66,242.5,7.3,0
B0542,A동,주간,점적,14.0,23.1,73.4,50.0,2.18,171.5,7.02,0
B0543,B동,야간,수경,5.0,24.6,57.8,74.2,2.22,182.0,7.74,0
B0544,D동,주간,점적,9.0,22.1,69.7,66.6,1.9,150.8,6.95,0
B0545,A동,주간,,12.0,25.6,71.4,56.3,2.35,167.3,7.08,0
B0546,B동,주간,수경,11.0,25.1,66.2,56.7,2.19,195.9,6.93,0
B0547,C동,야간,수경,8.0,20.0,67.4,113.9,2.54,192.5,7.01,0
B0548,B동,야간,점적,7.0,18.4,60.2,69.6,1.96,187.9,7.07,0
B0549,C동,주간,수경,5.0,25.9,67.2,86.1,2.19,151.8,7.28,0
B0550,A동,야간,수경,8.0,25.1,67.6,64.1,2.75,192.2,7.36,0
B0551,A동,주간,점적,0.0,24.4,68.4,52.0,2.14,203.7,7.88,1
B0552,D동,야간,점적,4.0,21.7,,58.0,,144.7,7.26,0
B0553,B동,주간,점적,13.0,25.3,62.8,59.8,2.38,151.6,6.77,0
B0554,A동,주간,점적,9.0,24.8,62.9,62.1,,180.7,6.61,0
B0555,C동,주간,점적,8.0,24.4,81.3,69.1,2.52,180.1,7.61,0
B0556,D동,주간,수경,12.0,23.2,63.0,67.5,2.3,146.2,7.86,0
B0557,A동,주간,수경,5.0,21.6,79.5,70.0,2.68,179.1,7.65,0
B0558,A동,주간,수경,7.0,23.3,53.3,69.6,1.76,175.1,7.95,0
B0559,C동,야간,분무,9.0,26.0,86.9,69.5,2.51,187.1,7.07,0
B0560,B동,주간,점적,,21.3,88.9,57.1,2.49,195.2,6.1,0
B0561,A동,주간,수경,,24.3,71.2,79.3,2.82,174.8,8.08,0
B0562,C동,주간,수경,13.0,25.2,75.5,63.3,2.62,170.3,7.22,0
B0563,B동,주간,수경,4.0,26.4,64.3,67.7,2.02,160.6,7.14,0
B0564,D동,주간,점적,4.0,28.0,74.4,62.5,2.7,180.6,7.88,0
B0565,A동,주간,분무,9.0,20.3,74.9,59.6,2.54,173.3,7.74,0
B0566,C동,야간,점적,8.0,21.7,78.1,70.2,1.54,391.9,6.85,0
B0567,B동,야간,분무,12.0,24.1,89.3,61.5,1.43,177.4,6.31,0
B0568,A동,주간,점적,2.0,27.1,65.3,49.0,1.92,173.0,7.29,0
B0569,A동,주간,수경,3.0,27.8,75.5,76.2,2.29,201.6,7.11,0
B0570,C동,주간,,8.0,27.3,72.2,70.5,2.28,199.6,7.9,0
B0571,C동,주간,수경,3.0,19.6,56.0,78.3,2.28,141.9,7.4,0
B0572,B동,주간,점적,0.0,20.8,86.0,68.1,1.75,198.9,7.4,0
B0573,B동,주간,분무,5.0,21.3,67.6,60.1,,185.7,6.57,0
B0574,A동,주간,수경,7.0,24.0,63.1,57.3,,160.4,7.78,0
B0575,B동,주간,분무,13.0,24.5,72.9,56.6,2.18,208.1,7.75,0
B0576,B동,주간,점적,6.0,24.0,79.4,56.5,1.74,168.5,6.84,0
B0577,D동,야간,점적,6.0,22.9,67.9,53.2,1.92,139.8,7.02,0
B0578,D동,야간,수경,7.0,24.8,71.6,79.8,2.39,166.7,6.96,0
B0579,D동,야간,수경,8.0,22.0,72.2,118.2,2.5,141.2,7.0,0
B0580,C동,주간,점적,3.0,24.7,61.5,60.1,2.53,169.8,6.46,0
B0581,A동,주간,점적,2.0,24.0,67.4,68.5,2.07,170.4,7.74,0
B0582,B동,주간,점적,5.0,23.7,91.2,66.2,2.46,176.3,6.7,0
B0583,D동,주간,점적,10.0,23.6,73.3,55.6,,179.9,7.28,0
B0584,A동,주간,분무,5.0,21.6,64.5,70.9,1.84,137.6,6.84,0
B0585,A동,주간,점적,8.0,22.2,65.0,57.0,2.34,155.7,6.82,0
B0586,B동,야간,점적,13.0,20.6,65.4,60.4,1.75,178.3,7.6,0
B0587,C동,야간,점적,12.0,25.0,73.0,77.2,,196.6,7.35,0
B0588,B동,야간,점적,7.0,21.0,71.7,52.0,1.72,166.0,6.38,0
B0589,B동,주간,분무,20.0,25.5,,56.1,1.97,177.2,8.09,0
B0590,B동,야간,점적,9.0,19.2,79.0,55.6,2.15,141.6,7.46,0
B0591,C동,주간,분무,11.0,23.5,72.1,61.0,2.13,170.2,6.26,0
B0592,B동,주간,점적,8.0,22.3,71.3,55.1,1.87,181.1,7.01,0
B0593,C동,주간,점적,7.0,23.1,67.6,56.4,,175.9,7.49,0
B0594,D동,야간,점적,9.0,21.6,69.1,63.4,2.53,182.8,7.03,0
B0026,B동,주간,점적,0.0,45.9,69.4,69.5,1.63,175.7,7.23,0
B0095,C동,주간,점적,15.0,20.5,68.7,61.2,1.33,195.7,7.32,0
B0168,D동,야간,수경,0.0,23.1,75.5,78.5,2.4,179.6,6.57,0
B0289,A동,야간,분무,9.0,20.1,74.8,55.9,1.27,184.1,7.36,1
B0422,B동,주간,점적,5.0,23.7,53.4,61.8,1.95,186.9,7.13,0
B0558,A동,주간,수경,7.0,23.3,53.3,69.6,1.76,175.1,7.95,0
B0050,B동,주간,점적,7.0,28.5,64.2,64.4,1.14,167.8,7.48,0
B0429,A동,주간,점적,0.0,26.3,62.1,59.4,1.44,152.5,7.14,0
