rental_id,station_zone,member_type,weather,temperature_c,humidity_pct,wind_speed_mps,distance_km,ride_duration_min,bike_age_months,late_return
R0344,도심,연회원,맑음,20.8,,2.4,3.7,19.2,23.0,0
R0345,주거,월회원,맑음,17.3,57.7,6.0,1.81,12.3,31.0,0
R0346,대학가,연회원,맑음,31.7,,3.8,7.67,35.1,13.0,0
R0347,공원,일일권,맑음,16.3,63.5,3.4,2.89,19.6,8.0,0
R0348,도심,연회원,맑음,35.2,58.7,0.8,3.84,19.7,19.0,0
R0349,공원,월회원,흐림,29.8,67.3,2.8,6.28,28.3,37.0,0
R0350,공원,월회원,흐림,21.6,66.3,1.3,5.59,24.5,7.0,0
R0351,공원,일일권,흐림,29.2,65.2,3.6,11.26,53.7,10.0,0
R0352,공원,월회원,흐림,25.2,67.6,3.7,1.4,13.1,1.0,0
R0353,도심,연회원,비,19.7,96.9,5.5,3.14,19.3,18.0,0
R0354,주거,일일권,흐림,15.9,72.6,3.3,2.38,9.6,35.0,0
R0355,도심,월회원,흐림,16.5,59.1,2.5,3.45,18.4,28.0,0
R0356,공원,월회원,맑음,32.3,65.3,3.0,1.82,11.0,15.0,0
R0357,주거,연회원,맑음,28.8,31.2,2.7,2.75,13.1,9.0,0
R0358,공원,일일권,맑음,33.6,58.2,3.2,2.57,13.5,20.0,0
R0359,대학가,월회원,맑음,21.2,75.3,1.3,1.9,11.2,17.0,0
R0360,주거,월회원,맑음,17.1,62.4,3.4,1.53,12.5,16.0,0
R0361,도심,월회원,맑음,32.7,72.4,2.8,8.23,34.5,24.0,0
R0362,주거,일일권,맑음,26.9,46.2,4.0,7.78,32.7,9.0,0
R0363,대학가,연회원,맑음,29.4,67.2,3.5,4.6,19.2,35.0,0
R0364,공원,월회원,비,19.6,68.8,3.1,3.02,19.5,32.0,0
R0365,주거,일일권,맑음,15.9,68.0,3.3,5.24,26.8,22.0,0
R0366,공원,연회원,맑음,32.7,54.4,1.8,6.12,31.5,33.0,0
R0367,도심,연회원,맑음,30.8,56.9,2.9,4.51,22.3,2.0,0
R0368,도심,월회원,맑음,24.5,43.7,0.8,15.68,65.2,12.0,1
R0369,공원,연회원,맑음,21.6,63.2,3.4,1.67,13.8,23.0,0
R0370,대학가,연회원,맑음,17.0,65.6,2.5,3.34,13.0,17.0,0
R0371,대학가,일일권,흐림,25.0,,2.3,1.96,13.8,47.0,0
R0372,공원,일일권,흐림,15.2,57.2,1.8,2.01,13.8,7.0,0
R0373,주거,일일권,맑음,25.5,62.8,2.5,2.1,6.3,27.0,0
R0374,공원,,맑음,23.3,64.9,2.1,6.98,30.9,29.0,0
R0375,대학가,월회원,흐림,29.0,66.5,2.1,4.38,23.2,11.0,0
R0376,도심,일일권,비,19.1,80.3,2.3,2.23,14.6,21.0,0
R0377,주거,일일권,맑음,20.3,51.3,2.2,1.95,11.1,1.0,1
R0378,대학가,월회원,흐림,22.7,56.4,2.1,6.37,29.5,19.0,0
R0379,도심,,흐림,22.8,70.8,0.5,1.42,8.0,29.0,0
R0380,도심,월회원,맑음,13.9,61.8,3.6,3.05,15.9,8.0,0
R0381,주거,월회원,비,9.5,69.4,6.2,1.59,10.2,11.0,0
R0382,주거,연회원,맑음,20.2,57.0,3.0,3.86,16.7,41.0,0
R0383,대학가,일일권,맑음,16.2,57.3,1.0,10.41,48.1,17.0,0
R0384,공원,월회원,비,14.0,77.0,4.4,3.28,19.9,19.0,0
R0385,도심,연회원,맑음,16.1,50.6,5.7,4.27,20.4,38.0,0
R0386,도심,월회원,맑음,26.5,49.9,3.6,1.74,16.8,26.0,0
R0387,대학가,연회원,맑음,18.8,47.3,3.4,2.85,11.4,,0
R0388,주거,연회원,흐림,22.2,72.1,3.9,2.91,12.8,24.0,0
R0389,공원,월회원,맑음,30.1,54.5,2.9,2.57,14.9,27.0,0
R0390,주거,연회원,맑음,8.7,60.6,2.1,1.69,10.3,33.0,0
R0391,도심,연회원,흐림,16.4,55.4,0.8,2.76,23.3,24.0,0
R0392,주거,월회원,흐림,37.0,79.9,3.4,4.79,25.6,45.0,0
R0393,주거,일일권,맑음,20.9,61.5,3.8,6.07,27.8,14.0,0
R0394,대학가,월회원,맑음,26.5,53.8,5.5,4.12,22.3,32.0,0
R0395,주거,월회원,맑음,28.8,42.0,3.2,4.97,25.5,6.0,0
R0396,주거,일일권,흐림,18.2,78.4,3.7,10.25,45.2,21.0,1
R0397,도심,연회원,맑음,22.4,39.4,1.6,8.91,34.8,17.0,0
R0398,도심,월회원,흐림,21.5,77.2,2.8,7.09,35.4,42.0,0
R0399,도심,연회원,흐림,26.5,79.0,5.3,4.68,22.0,14.0,0
R0400,도심,월회원,맑음,21.2,57.8,4.4,3.2,16.7,14.0,0
R0401,공원,월회원,비,16.6,74.1,3.9,5.04,30.7,23.0,0
R0402,대학가,연회원,맑음,34.9,59.8,2.5,1.82,12.1,29.0,0
R0403,대학가,월회원,흐림,21.2,66.2,3.2,2.46,9.3,29.0,0
R0404,주거,연회원,맑음,26.9,36.1,1.9,1.43,10.4,14.0,0
R0405,도심,연회원,맑음,36.7,58.2,3.0,4.59,24.1,15.0,0
R0406,도심,,맑음,26.9,52.3,1.6,10.39,43.4,14.0,0
R0407,주거,월회원,흐림,17.3,75.3,3.4,4.04,21.8,22.0,0
R0408,주거,연회원,비,29.7,69.2,4.4,0.96,,13.0,0
R0409,대학가,,맑음,26.9,72.0,5.2,3.4,19.6,13.0,0
R0410,도심,,흐림,24.3,60.6,3.9,3.3,20.8,39.0,0
R0411,공원,월회원,맑음,37.0,44.6,3.6,1.81,13.4,32.0,0
R0412,도심,일일권,맑음,18.7,39.5,2.9,2.63,17.1,19.0,0
R0413,주거,일일권,맑음,12.8,46.5,3.3,7.31,31.0,39.0,0
R0414,도심,일일권,맑음,24.4,54.7,2.4,47.85,20.9,22.0,0
R0415,주거,월회원,맑음,27.3,60.6,3.1,5.47,21.3,15.0,0
R0416,공원,연회원,맑음,30.4,59.1,5.4,2.08,8.2,15.0,0
R0417,대학가,월회원,맑음,21.6,50.9,3.4,8.12,32.7,51.0,0
R0418,공원,일일권,흐림,23.1,74.2,4.2,3.81,16.5,9.0,0
R0419,주거,일일권,비,14.0,90.3,3.4,5.46,25.0,30.0,1
R0420,공원,연회원,맑음,32.3,64.7,4.8,2.56,18.9,19.0,0
R0421,대학가,월회원,맑음,26.7,67.0,3.9,3.83,13.2,18.0,0
R0422,주거,연회원,맑음,30.7,61.1,4.4,1.45,10.5,10.0,0
R0423,주거,일일권,흐림,35.8,64.4,2.8,3.62,18.4,12.0,0
R0424,공원,일일권,맑음,15.9,47.7,2.2,7.28,26.4,29.0,0
R0425,공원,월회원,흐림,16.6,61.8,2.8,1.99,,34.0,0
R0426,주거,월회원,비,10.7,90.4,4.5,4.95,24.2,1.0,0
R0427,공원,일일권,맑음,28.5,51.5,3.5,2.49,17.1,17.0,0
R0428,주거,월회원,맑음,21.8,50.1,2.2,3.28,15.3,12.0,0
R0429,대학가,연회원,맑음,23.2,42.4,4.2,11.4,52.2,14.0,0
R0430,도심,연회원,맑음,27.4,51.0,1.6,2.02,13.3,13.0,1
R0431,주거,월회원,맑음,26.3,38.4,1.5,2.52,17.2,14.0,0
R0432,대학가,연회원,흐림,27.5,73.1,4.2,2.73,22.8,24.0,0
R0433,도심,월회원,비,13.4,71.5,3.5,2.24,13.4,27.0,0
R0434,공원,월회원,흐림,17.6,65.9,5.5,6.13,29.2,46.0,0
R0435,주거,월회원,흐림,24.9,63.5,1.8,49.83,29.9,29.0,0
R0436,도심,일일권,맑음,30.7,48.1,3.0,2.75,13.0,33.0,0
R0437,주거,월회원,흐림,15.5,69.5,3.4,2.71,17.4,35.0,0
R0438,대학가,연회원,맑음,15.4,50.3,1.4,6.48,28.4,30.0,0
R0439,공원,연회원,맑음,8.9,39.9,2.8,4.04,21.6,21.0,0
R0440,대학가,월회원,흐림,15.0,54.3,2.8,1.47,6.2,22.0,0
R0441,주거,연회원,맑음,27.1,48.8,3.1,2.36,11.6,35.0,0
R0442,대학가,일일권,맑음,26.6,59.5,2.3,3.42,15.9,8.0,0
R0443,주거,연회원,맑음,26.2,47.8,3.4,3.6,16.2,33.0,0
R0444,공원,,맑음,29.7,47.3,4.8,2.56,13.5,5.0,0
R0445,도심,월회원,맑음,24.1,55.3,1.6,1.86,14.5,26.0,0
R0446,주거,연회원,흐림,29.2,60.3,2.9,1.75,16.2,15.0,0
R0447,주거,연회원,맑음,26.9,49.4,4.1,9.4,40.7,1.0,0
R0448,공원,월회원,맑음,21.8,52.1,2.2,1.0,6.6,41.0,0
R0449,공원,월회원,맑음,26.0,62.3,2.5,6.94,33.8,21.0,0
R0450,대학가,월회원,흐림,22.4,79.0,3.9,3.49,19.5,23.0,0
R0451,주거,월회원,흐림,37.0,58.3,4.2,2.89,17.0,34.0,0
R0452,도심,일일권,맑음,17.9,58.4,3.7,4.45,20.1,18.0,0
R0453,도심,월회원,맑음,28.9,49.0,3.1,2.49,14.6,34.0,0
R0454,주거,일일권,흐림,30.7,66.3,2.5,2.85,18.1,21.0,0
R0455,도심,일일권,흐림,27.9,78.9,3.4,9.36,43.5,15.0,0
R0456,공원,월회원,비,29.3,59.2,3.9,2.69,14.8,10.0,0
R0457,공원,월회원,맑음,13.9,59.4,0.2,5.3,21.7,28.0,0
R0458,대학가,월회원,맑음,23.4,,3.0,2.84,17.8,28.0,0
R0459,대학가,,맑음,22.6,46.3,4.1,1.1,10.3,37.0,0
R0460,공원,연회원,맑음,31.0,62.5,4.1,6.71,25.3,19.0,0
R0461,공원,일일권,흐림,25.2,67.5,3.9,1.67,11.8,28.0,0
R0462,도심,월회원,흐림,19.7,65.5,3.1,4.01,18.4,34.0,0
R0463,도심,월회원,맑음,18.9,49.6,3.2,2.43,19.5,3.0,0
R0464,주거,월회원,비,17.5,91.3,6.2,3.06,19.7,26.0,0
R0465,주거,연회원,맑음,27.2,33.7,2.7,3.52,19.9,11.0,0
R0466,주거,월회원,맑음,18.9,54.2,1.3,7.73,39.4,30.0,0
R0467,도심,일일권,비,21.4,86.8,5.0,3.33,17.0,17.0,0
R0468,도심,연회원,맑음,20.1,65.0,4.7,6.41,29.5,11.0,0
R0469,도심,일일권,맑음,24.1,47.7,5.0,1.36,,23.0,0
R0470,주거,월회원,맑음,26.1,33.4,3.0,8.7,36.4,29.0,0
R0471,도심,일일권,맑음,14.8,42.3,5.4,7.24,,12.0,0
R0472,도심,월회원,맑음,15.1,48.3,1.0,2.45,11.9,19.0,0
R0473,공원,일일권,맑음,15.8,53.7,3.7,1.7,11.7,7.0,0
R0474,도심,연회원,맑음,16.3,49.5,4.2,2.09,6.4,25.0,0
R0475,주거,연회원,맑음,21.1,49.0,6.6,4.75,18.5,17.0,0
R0476,공원,일일권,흐림,31.4,,0.3,2.59,10.3,16.0,0
R0477,도심,월회원,맑음,28.2,59.4,4.2,1.58,7.2,34.0,0
R0478,대학가,일일권,비,15.0,87.7,5.0,2.16,16.3,8.0,0
R0479,공원,일일권,맑음,25.3,49.8,1.4,2.33,,31.0,0
R0480,대학가,월회원,맑음,25.6,48.8,0.8,2.08,8.6,12.0,0
R0481,도심,연회원,비,21.1,,4.8,2.11,10.3,19.0,0
R0482,대학가,월회원,맑음,30.4,66.7,4.2,5.08,28.4,22.0,0
R0483,공원,월회원,맑음,23.5,64.8,3.1,3.83,21.4,39.0,1
R0484,주거,일일권,맑음,29.9,54.2,1.7,4.28,18.6,16.0,0
R0485,도심,월회원,흐림,30.0,76.8,3.5,3.55,18.5,28.0,0
R0486,도심,일일권,맑음,25.6,58.0,2.8,3.65,13.4,22.0,0
R0487,도심,월회원,흐림,27.5,80.6,4.0,10.26,44.4,39.0,0
R0488,대학가,연회원,맑음,15.6,57.5,2.7,9.84,38.9,9.0,0
R0489,대학가,일일권,맑음,26.4,43.1,4.0,4.33,18.3,25.0,0
R0490,대학가,월회원,흐림,18.9,76.2,3.5,5.09,21.9,10.0,0
R0491,주거,월회원,비,27.2,73.1,5.8,1.59,9.0,13.0,0
R0492,공원,월회원,맑음,27.6,44.3,2.0,4.46,26.1,19.0,0
R0493,대학가,연회원,맑음,16.9,58.9,0.8,1.46,4.1,26.0,0
R0494,주거,월회원,맑음,19.2,56.2,3.4,5.0,22.9,24.0,0
R0495,공원,월회원,,21.0,76.9,2.6,2.2,15.3,1.0,0
R0496,대학가,월회원,흐림,19.9,64.7,4.4,2.18,18.9,16.0,0
R0497,주거,일일권,비,25.0,84.7,5.5,5.89,28.5,14.0,0
R0498,주거,월회원,흐림,13.8,78.0,3.6,5.94,34.3,24.0,0
R0499,주거,일일권,맑음,24.1,56.2,4.1,5.34,22.2,15.0,0
R0500,도심,월회원,맑음,26.3,52.2,1.1,1.45,16.8,23.0,0
R0501,공원,월회원,흐림,16.8,84.7,3.2,2.18,14.4,30.0,0
R0502,공원,일일권,맑음,27.1,60.6,5.8,1.49,12.0,23.0,0
R0503,대학가,월회원,비,18.4,94.3,4.4,3.07,21.7,4.0,0
R0504,공원,일일권,맑음,31.0,46.9,4.1,1.95,5.2,12.0,0
R0505,도심,월회원,흐림,29.3,80.7,3.9,3.87,217.9,12.0,0
R0506,대학가,,흐림,31.6,91.0,3.8,5.04,25.6,39.0,0
R0507,대학가,일일권,맑음,26.1,41.5,0.9,1.67,12.6,15.0,0
R0508,공원,일일권,비,16.3,79.6,3.8,2.85,18.9,33.0,0
R0509,주거,월회원,흐림,22.8,60.2,2.9,63.14,10.5,11.0,0
R0510,도심,연회원,맑음,27.6,63.4,3.3,3.35,15.9,4.0,0
R0511,도심,월회원,흐림,21.4,81.3,2.6,3.39,19.5,13.0,0
R0512,주거,일일권,흐림,26.8,56.6,2.6,2.61,18.8,25.0,0
R0513,도심,월회원,흐림,14.1,77.0,2.8,1.66,16.9,28.0,1
R0514,대학가,연회원,맑음,24.9,55.9,2.9,5.09,30.8,8.0,0
R0515,주거,월회원,맑음,29.2,49.1,3.3,1.54,12.5,16.0,0
R0516,도심,월회원,흐림,26.9,74.4,4.6,3.09,11.7,20.0,0
R0517,도심,연회원,맑음,26.2,57.7,3.3,4.87,21.5,10.0,0
R0518,대학가,연회원,,21.4,73.7,2.1,2.42,8.5,23.0,0
R0519,공원,일일권,맑음,29.3,28.0,4.3,1.51,7.7,28.0,0
R0520,대학가,일일권,맑음,21.6,39.5,4.6,9.87,39.3,36.0,1
R0521,대학가,월회원,맑음,25.5,32.8,5.0,2.64,16.5,1.0,0
R0522,주거,일일권,흐림,18.9,73.6,4.0,2.55,21.7,19.0,0
R0523,공원,일일권,흐림,25.3,49.1,3.0,5.79,29.1,35.0,0
R0524,주거,월회원,흐림,23.2,69.3,5.1,1.82,8.2,18.0,0
R0525,주거,연회원,,27.3,45.1,4.4,2.69,13.2,37.0,0
R0526,도심,월회원,,22.3,35.4,3.6,2.11,11.0,33.0,0
R0527,도심,월회원,흐림,23.0,76.1,1.4,2.55,18.6,9.0,0
R0528,도심,월회원,맑음,31.5,68.9,1.8,1.3,7.5,19.0,0
R0529,도심,일일권,맑음,21.2,78.4,3.6,3.01,19.9,38.0,0
R0530,주거,월회원,맑음,28.0,57.8,1.7,3.31,13.0,50.0,0
R0531,주거,일일권,비,18.6,61.0,3.5,3.37,19.7,5.0,0
R0532,도심,연회원,비,20.7,75.1,4.8,3.22,18.3,14.0,0
R0533,도심,연회원,맑음,26.1,76.5,3.1,3.7,20.7,20.0,0
R0534,대학가,일일권,맑음,21.3,53.8,2.3,2.31,13.5,28.0,0
R0535,도심,일일권,맑음,21.9,56.1,4.6,2.73,10.3,1.0,0
R0536,공원,연회원,흐림,16.8,84.3,1.9,3.81,18.5,41.0,0
R0537,공원,월회원,맑음,11.4,,3.4,4.89,28.1,39.0,0
R0538,공원,월회원,흐림,21.9,70.9,3.7,3.3,17.2,24.0,0
R0539,대학가,월회원,흐림,20.1,64.9,2.7,5.28,26.2,21.0,0
R0540,대학가,일일권,흐림,26.0,71.7,1.7,5.04,27.1,20.0,0
R0541,대학가,월회원,맑음,27.0,37.2,1.5,2.15,12.7,20.0,0
R0542,대학가,연회원,맑음,21.1,58.1,3.6,4.64,21.8,1.0,0
R0543,주거,월회원,비,20.2,75.4,6.1,1.8,7.7,44.0,0
R0544,주거,월회원,맑음,34.4,59.1,1.8,5.12,24.4,32.0,0
R0545,대학가,,맑음,16.5,52.1,2.0,4.17,19.8,27.0,0
R0546,대학가,연회원,맑음,24.9,58.9,1.9,1.73,10.7,19.0,0
R0547,도심,연회원,흐림,25.1,66.4,1.8,3.0,14.3,17.0,0
R0548,공원,연회원,비,16.1,61.7,5.7,0.99,7.0,39.0,0
R0549,주거,일일권,흐림,16.2,54.8,5.1,1.56,13.6,1.0,0
R0550,주거,일일권,,30.0,83.5,2.5,3.03,,15.0,0
R0551,주거,월회원,비,9.8,92.0,5.1,3.22,22.5,27.0,0
R0552,도심,,비,25.8,93.9,4.5,2.12,14.1,26.0,0
R0553,주거,일일권,맑음,21.1,51.0,0.2,1.87,16.7,28.0,0
R0554,주거,,,28.8,45.7,1.8,2.81,14.6,41.0,0
R0555,공원,일일권,흐림,23.8,63.5,1.7,6.23,28.9,25.0,0
R0556,공원,일일권,맑음,30.6,54.6,4.5,6.29,29.0,21.0,0
R0557,주거,연회원,맑음,32.3,65.3,3.9,3.48,19.9,2.0,0
R0558,대학가,일일권,,27.4,44.2,4.7,2.33,14.7,11.0,0
R0559,도심,일일권,맑음,23.6,48.9,1.6,4.13,20.5,33.0,0
R0560,도심,연회원,맑음,27.6,55.6,1.8,3.28,20.8,18.0,0
R0561,대학가,월회원,맑음,20.9,57.9,2.4,6.0,33.0,23.0,0
R0562,주거,일일권,맑음,19.1,58.0,3.2,4.38,22.6,17.0,0
R0563,도심,일일권,맑음,19.3,60.6,4.3,1.84,10.9,44.0,0
R0564,주거,일일권,비,22.2,63.7,2.7,3.11,20.0,27.0,0
R0565,공원,월회원,맑음,23.7,50.5,1.6,1.38,8.3,23.0,0
R0566,공원,월회원,맑음,25.9,40.9,3.9,5.1,26.8,22.0,0
R0567,대학가,일일권,맑음,17.0,42.8,2.3,2.65,21.7,23.0,0
R0568,공원,연회원,맑음,22.7,,2.9,3.17,14.4,17.0,0
R0569,도심,월회원,맑음,20.6,61.5,2.8,2.8,,6.0,0
R0570,주거,연회원,흐림,11.2,70.6,1.1,2.62,17.5,19.0,0
R0571,대학가,일일권,맑음,13.8,50.7,3.6,3.25,17.4,27.0,0
R0572,공원,일일권,맑음,23.3,59.0,4.7,4.15,21.0,18.0,0
R0573,도심,연회원,맑음,19.9,48.9,3.1,3.09,15.7,28.0,0
R0574,도심,일일권,흐림,24.6,47.9,1.7,4.91,23.4,29.0,1
R0575,주거,연회원,맑음,29.8,56.5,1.3,14.86,60.6,15.0,0
R0576,도심,,맑음,12.8,52.9,3.4,1.64,14.7,19.0,0
R0577,대학가,월회원,흐림,21.9,58.2,3.4,2.28,12.3,24.0,0
R0578,주거,월회원,비,24.1,75.7,4.4,5.21,30.9,21.0,0
R0579,주거,연회원,맑음,32.4,47.0,2.7,4.49,24.9,22.0,0
R0580,주거,월회원,맑음,22.8,64.5,2.9,47.9,10.7,11.0,0
R0581,대학가,일일권,맑음,32.4,50.0,2.5,2.98,12.0,14.0,0
R0582,공원,일일권,맑음,19.0,44.9,2.1,12.27,53.0,30.0,0
R0583,주거,일일권,맑음,30.8,63.4,4.0,3.28,22.9,1.0,0
R0584,도심,월회원,맑음,22.5,52.2,1.8,1.88,6.7,12.0,0
R0585,도심,연회원,흐림,25.9,45.8,3.5,2.83,16.3,7.0,0
R0586,도심,월회원,맑음,50.3,46.2,4.3,5.53,25.0,8.0,0
R0587,공원,연회원,맑음,27.6,49.3,4.0,5.33,24.1,13.0,0
R0588,도심,월회원,흐림,19.7,54.1,1.5,3.02,18.9,12.0,0
R0589,주거,연회원,맑음,11.6,50.3,4.2,3.06,18.6,39.0,0
R0590,대학가,일일권,비,15.2,59.9,6.4,2.2,11.3,1.0,0
R0591,도심,일일권,흐림,23.0,69.0,3.3,2.0,12.9,47.0,0
R0592,주거,일일권,,23.7,62.1,3.6,4.45,20.9,40.0,0
R0593,주거,일일권,맑음,23.6,,4.5,1.97,13.4,15.0,0
R0594,주거,월회원,맑음,34.9,73.4,2.7,1.6,16.0,10.0,0
R0595,공원,일일권,비,23.8,,6.4,2.05,11.4,20.0,0
R0596,대학가,월회원,맑음,23.8,54.8,3.9,2.37,13.3,25.0,0
R0597,대학가,일일권,흐림,20.7,66.4,2.5,1.39,14.3,32.0,0
R0598,공원,연회원,흐림,24.5,82.1,3.5,2.76,15.7,30.0,0
R0599,주거,일일권,맑음,21.8,50.2,4.2,6.04,26.5,37.0,0
R0600,주거,연회원,비,12.7,92.7,5.4,5.14,31.6,39.0,0
R0601,도심,월회원,맑음,20.1,43.6,3.6,3.89,19.2,25.0,0
R0602,도심,연회원,맑음,25.3,42.5,1.9,5.29,24.9,3.0,0
R0603,도심,월회원,맑음,22.1,57.9,0.5,4.54,23.9,12.0,0
R0604,주거,월회원,맑음,28.5,78.2,4.2,2.54,20.2,35.0,0
R0605,주거,일일권,비,29.5,80.1,3.5,3.53,21.3,29.0,0
R0606,대학가,일일권,맑음,30.4,41.3,0.4,1.31,,31.0,0
R0607,공원,월회원,맑음,19.8,37.9,1.5,1.4,11.2,10.0,0
R0608,주거,연회원,흐림,32.2,66.7,0.2,3.53,18.2,20.0,0
R0609,도심,일일권,비,20.6,86.4,3.8,8.89,44.7,2.0,0
R0610,도심,일일권,맑음,28.9,56.0,2.7,3.75,21.1,20.0,0
R0611,주거,연회원,흐림,18.4,78.6,5.5,1.31,7.9,18.0,0
R0612,대학가,연회원,맑음,27.4,69.3,1.1,4.06,27.9,1.0,0
R0613,대학가,일일권,맑음,28.0,43.3,2.3,5.87,31.6,36.0,0
R0614,대학가,일일권,흐림,20.1,67.7,3.1,3.69,22.5,20.0,0
R0615,주거,연회원,맑음,24.9,67.4,1.5,3.28,11.2,26.0,0
R0616,주거,연회원,맑음,21.4,46.1,1.8,2.84,11.6,22.0,0
R0617,공원,일일권,맑음,32.8,61.6,3.7,3.31,,14.0,0
R0618,도심,일일권,맑음,24.2,30.0,2.4,3.98,20.3,29.0,0
R0619,도심,월회원,흐림,23.8,84.9,4.3,4.22,20.5,20.0,0
R0620,대학가,연회원,맑음,26.8,51.8,4.2,5.33,24.8,20.0,0
R0621,도심,일일권,맑음,19.5,62.6,4.3,2.22,16.5,29.0,0
R0622,공원,월회원,비,19.2,83.9,2.6,2.49,11.9,8.0,0
R0623,도심,연회원,맑음,21.7,61.6,3.1,1.74,7.2,32.0,0
R0624,대학가,일일권,맑음,26.9,57.0,3.2,4.29,22.1,18.0,1
R0625,대학가,월회원,,22.1,83.9,2.4,3.81,18.5,32.0,0
R0626,대학가,월회원,맑음,26.9,46.2,3.6,4.73,22.2,17.0,0
R0627,공원,연회원,비,17.7,86.4,3.7,6.35,37.7,19.0,0
R0628,공원,월회원,맑음,21.3,58.1,3.2,2.19,12.9,45.0,0
R0629,주거,연회원,흐림,27.8,67.5,2.1,4.8,23.5,23.0,0
R0630,도심,일일권,맑음,19.0,61.6,2.9,9.23,38.1,40.0,0
R0631,대학가,연회원,맑음,25.7,67.5,2.6,4.38,18.2,32.0,0
R0632,대학가,연회원,흐림,18.3,68.7,2.0,1.63,10.0,10.0,0
R0633,공원,월회원,비,27.7,81.2,6.4,4.28,26.1,16.0,0
R0634,도심,연회원,맑음,23.9,56.6,1.7,1.34,7.8,16.0,0
R0635,공원,일일권,맑음,24.0,55.8,4.2,1.74,10.3,36.0,0
R0636,도심,일일권,흐림,16.2,65.0,2.7,9.04,,19.0,0
R0637,도심,일일권,흐림,32.8,79.2,2.0,1.42,9.6,40.0,0
R0638,주거,일일권,비,20.0,86.7,4.3,3.04,17.2,19.0,0
R0639,주거,월회원,흐림,20.6,81.1,2.8,2.7,19.4,22.0,0
R0640,주거,월회원,비,30.6,77.7,4.8,1.52,,1.0,0
R0641,대학가,일일권,비,25.8,69.4,4.6,6.19,35.4,23.0,0
R0642,대학가,연회원,흐림,22.4,80.8,5.5,1.53,8.6,,0
R0643,주거,월회원,맑음,31.6,64.0,3.4,3.08,17.9,27.0,0
R0644,대학가,일일권,맑음,20.3,56.5,3.3,4.05,23.7,1.0,0
R0019,주거,일일권,맑음,29.5,45.3,2.4,58.81,11.0,28.0,1
R0078,도심,일일권,흐림,29.9,66.5,0.2,4.49,29.9,31.0,0
R0212,도심,연회원,맑음,20.1,47.2,3.4,2.07,11.5,19.0,0
R0409,대학가,,맑음,26.9,72.0,5.2,3.4,19.6,13.0,0
R0513,도심,월회원,흐림,14.1,77.0,2.8,1.66,16.9,28.0,1
R0602,도심,연회원,맑음,25.3,42.5,1.9,5.29,24.9,3.0,0
R0064,대학가,일일권,흐림,29.4,76.3,1.6,1.44,205.7,37.0,0
R0137,주거,일일권,비,19.8,73.8,3.7,4.13,27.0,16.0,0
